2026-09-06T04:45:02Z p1_start  n_tasks=30 k=16 conc=6 phase=p1_map
2026-09-06T05:36:13Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=10 seed=9 duration_ms=150431 success=False reward=0.0 steps=50 error=None
2026-09-06T05:36:18Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=9 seed=9 duration_ms=156591 success=False reward=0.0 steps=50 error=None
2026-09-06T05:36:30Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=11 seed=9 duration_ms=153552 success=False reward=0.0 steps=50 error=None
2026-09-06T05:38:12Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=13 seed=9 duration_ms=133377 success=False reward=0.0 steps=50 error=None
2026-09-06T05:38:22Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=12 seed=9 duration_ms=148976 success=False reward=0.0 steps=50 error=None
2026-09-06T05:38:26Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=14 seed=9 duration_ms=143192 success=False reward=0.0 steps=50 error=None
2026-09-06T05:38:42Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=15 seed=9 duration_ms=149407 success=False reward=0.0 steps=50 error=None
2026-09-06T05:38:42Z p1_task_done  task_idx=9 task_id=9 k=16 sr=0.0 n_errors=0 wall_s=457.9
2026-09-06T05:42:30Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=4 seed=10 duration_ms=228312 success=False reward=0.0 steps=50 error=None
2026-09-06T05:42:38Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=2 seed=10 duration_ms=236150 success=False reward=0.0 steps=50 error=None
2026-09-06T05:42:47Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=3 seed=10 duration_ms=245405 success=False reward=0.0 steps=50 error=None
2026-09-06T05:42:57Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=1 seed=10 duration_ms=254702 success=False reward=0.0 steps=50 error=None
2026-09-06T05:43:16Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=5 seed=10 duration_ms=274171 success=False reward=0.0 steps=50 error=None
2026-09-06T05:43:33Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=0 seed=10 duration_ms=291226 success=False reward=0.0 steps=50 error=None
2026-09-06T05:46:24Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=7 seed=10 duration_ms=225480 success=False reward=0.0 steps=50 error=None
2026-09-06T05:46:32Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=8 seed=10 duration_ms=224542 success=False reward=0.0 steps=50 error=None
2026-09-06T05:47:02Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=9 seed=10 duration_ms=244959 success=False reward=0.0 steps=50 error=None
2026-09-06T05:47:11Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=6 seed=10 duration_ms=280825 success=False reward=0.0 steps=50 error=None
2026-09-06T05:47:22Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=10 seed=10 duration_ms=245527 success=False reward=0.0 steps=50 error=None
2026-09-06T05:47:58Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=11 seed=10 duration_ms=265035 success=False reward=0.0 steps=50 error=None
2026-09-06T05:49:58Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=12 seed=10 duration_ms=214346 success=False reward=0.0 steps=50 error=None
2026-09-06T05:50:48Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=13 seed=10 duration_ms=256141 success=False reward=0.0 steps=50 error=None
2026-09-06T05:51:09Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=14 seed=10 duration_ms=247341 success=False reward=0.0 steps=50 error=None
2026-09-06T05:51:42Z rollout_done  iteration_id=baseline-0010 attempt=0 candidate_id=baseline rollout=15 seed=10 duration_ms=271087 success=False reward=0.0 steps=50 error=None
2026-09-06T05:51:42Z p1_task_done  task_idx=10 task_id=10 k=16 sr=0.0 n_errors=0 wall_s=780.3
2026-09-06T05:54:59Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=4 seed=11 duration_ms=196749 success=False reward=0.0 steps=50 error=None
2026-09-06T05:55:00Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=2 seed=11 duration_ms=198096 success=False reward=0.0 steps=50 error=None
2026-09-06T05:55:03Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=5 seed=11 duration_ms=201153 success=False reward=0.0 steps=50 error=None
2026-09-06T05:55:08Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=3 seed=11 duration_ms=206064 success=False reward=0.0 steps=50 error=None
2026-09-06T05:55:19Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=0 seed=11 duration_ms=217234 success=False reward=0.0 steps=50 error=None
2026-09-06T05:55:20Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=1 seed=11 duration_ms=217714 success=False reward=0.0 steps=50 error=None
2026-09-06T05:58:03Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=6 seed=11 duration_ms=184274 success=False reward=0.0 steps=50 error=None
2026-09-06T05:58:18Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=9 seed=11 duration_ms=189938 success=False reward=0.0 steps=50 error=None
2026-09-06T05:58:24Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=8 seed=11 duration_ms=200614 success=False reward=0.0 steps=50 error=None
2026-09-06T05:58:25Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=7 seed=11 duration_ms=204446 success=False reward=0.0 steps=50 error=None
2026-09-06T05:58:48Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=11 seed=11 duration_ms=208372 success=False reward=0.0 steps=50 error=None
2026-09-06T05:58:55Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=10 seed=11 duration_ms=215449 success=False reward=0.0 steps=50 error=None
2026-09-06T06:00:55Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=15 seed=11 duration_ms=149754 success=False reward=0.0 steps=50 error=None
2026-09-06T06:01:15Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=12 seed=11 duration_ms=192102 success=False reward=0.0 steps=50 error=None
2026-09-06T06:01:31Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=14 seed=11 duration_ms=187254 success=False reward=0.0 steps=50 error=None
2026-09-06T06:02:05Z rollout_done  iteration_id=baseline-0011 attempt=0 candidate_id=baseline rollout=13 seed=11 duration_ms=227134 success=False reward=0.0 steps=50 error=None
2026-09-06T06:02:05Z p1_task_done  task_idx=11 task_id=11 k=16 sr=0.0 n_errors=0 wall_s=623.2
2026-09-06T06:02:36Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=2 seed=12 duration_ms=30561 success=True reward=1.0 steps=8 error=None
2026-09-06T06:02:36Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=5 seed=12 duration_ms=30695 success=True reward=1.0 steps=8 error=None
2026-09-06T06:02:47Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=1 seed=12 duration_ms=41098 success=True reward=1.0 steps=12 error=None
2026-09-06T06:02:47Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=0 seed=12 duration_ms=41426 success=True reward=1.0 steps=12 error=None
2026-09-06T06:02:47Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=3 seed=12 duration_ms=41497 success=True reward=1.0 steps=12 error=None
2026-09-06T06:02:48Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=4 seed=12 duration_ms=42289 success=True reward=1.0 steps=12 error=None
2026-09-06T06:03:14Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=7 seed=12 duration_ms=37549 success=True reward=1.0 steps=12 error=None
2026-09-06T06:03:14Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=6 seed=12 duration_ms=38376 success=True reward=1.0 steps=12 error=None
2026-09-06T06:03:26Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=8 seed=12 duration_ms=39102 success=True reward=1.0 steps=12 error=None
2026-09-06T06:03:26Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=10 seed=12 duration_ms=38920 success=True reward=1.0 steps=12 error=None
2026-09-06T06:03:26Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=9 seed=12 duration_ms=39100 success=True reward=1.0 steps=12 error=None
2026-09-06T06:03:29Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=11 seed=12 duration_ms=41336 success=True reward=1.0 steps=12 error=None
2026-09-06T06:03:52Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=12 seed=12 duration_ms=37874 success=True reward=1.0 steps=12 error=None
2026-09-06T06:03:52Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=13 seed=12 duration_ms=37903 success=True reward=1.0 steps=12 error=None
2026-09-06T06:04:03Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=15 seed=12 duration_ms=37362 success=True reward=1.0 steps=12 error=None
2026-09-06T06:04:03Z rollout_done  iteration_id=baseline-0012 attempt=0 candidate_id=baseline rollout=14 seed=12 duration_ms=37738 success=True reward=1.0 steps=12 error=None
2026-09-06T06:04:03Z p1_task_done  task_idx=12 task_id=12 k=16 sr=1.0 n_errors=0 wall_s=118.0
2026-09-06T06:05:06Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=2 seed=13 duration_ms=62182 success=True reward=1.0 steps=18 error=None
2026-09-06T06:05:06Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=3 seed=13 duration_ms=62235 success=True reward=1.0 steps=18 error=None
2026-09-06T06:05:29Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=0 seed=13 duration_ms=85729 success=True reward=1.0 steps=31 error=None
2026-09-06T06:05:30Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=1 seed=13 duration_ms=87051 success=True reward=1.0 steps=30 error=None
2026-09-06T06:05:32Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=5 seed=13 duration_ms=88301 success=True reward=1.0 steps=30 error=None
2026-09-06T06:05:32Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=4 seed=13 duration_ms=88882 success=True reward=1.0 steps=30 error=None
2026-09-06T06:06:28Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=7 seed=13 duration_ms=82372 success=True reward=1.0 steps=30 error=None
2026-09-06T06:06:28Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=10 seed=13 duration_ms=56667 success=True reward=1.0 steps=18 error=None
2026-09-06T06:06:29Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=6 seed=13 duration_ms=83336 success=True reward=1.0 steps=30 error=None
2026-09-06T06:06:44Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=8 seed=13 duration_ms=75160 success=True reward=1.0 steps=30 error=None
2026-09-06T06:06:51Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=11 seed=13 duration_ms=79174 success=True reward=1.0 steps=30 error=None
2026-09-06T06:06:51Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=9 seed=13 duration_ms=81013 success=True reward=1.0 steps=30 error=None
2026-09-06T06:07:24Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=14 seed=13 duration_ms=54930 success=True reward=1.0 steps=18 error=None
2026-09-06T06:07:48Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=13 seed=13 duration_ms=79936 success=True reward=1.0 steps=30 error=None
2026-09-06T06:07:49Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=12 seed=13 duration_ms=80617 success=True reward=1.0 steps=30 error=None
2026-09-06T06:08:01Z rollout_done  iteration_id=baseline-0013 attempt=0 candidate_id=baseline rollout=15 seed=13 duration_ms=76889 success=True reward=1.0 steps=30 error=None
2026-09-06T06:08:01Z p1_task_done  task_idx=13 task_id=13 k=16 sr=1.0 n_errors=0 wall_s=237.8
2026-09-06T06:10:44Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=0 seed=14 duration_ms=162727 success=False reward=0.0 steps=50 error=None
2026-09-06T06:10:49Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=3 seed=14 duration_ms=168075 success=False reward=0.0 steps=50 error=None
2026-09-06T06:10:51Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=5 seed=14 duration_ms=169759 success=False reward=0.0 steps=50 error=None
2026-09-06T06:10:56Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=1 seed=14 duration_ms=174643 success=False reward=0.0 steps=50 error=None
2026-09-06T06:10:57Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=2 seed=14 duration_ms=175780 success=False reward=0.0 steps=50 error=None
2026-09-06T06:10:58Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=4 seed=14 duration_ms=177190 success=False reward=0.0 steps=50 error=None
2026-09-06T06:13:18Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=6 seed=14 duration_ms=154229 success=False reward=0.0 steps=50 error=None
2026-09-06T06:13:42Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=10 seed=14 duration_ms=165348 success=False reward=0.0 steps=50 error=None
2026-09-06T06:13:49Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=9 seed=14 duration_ms=173208 success=False reward=0.0 steps=50 error=None
2026-09-06T06:13:51Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=11 seed=14 duration_ms=172952 success=False reward=0.0 steps=50 error=None
2026-09-06T06:13:52Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=7 seed=14 duration_ms=182694 success=False reward=0.0 steps=50 error=None
2026-09-06T06:13:55Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=8 seed=14 duration_ms=183796 success=False reward=0.0 steps=50 error=None
2026-09-06T06:16:08Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=12 seed=14 duration_ms=170075 success=False reward=0.0 steps=50 error=None
2026-09-06T06:16:29Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=13 seed=14 duration_ms=167083 success=False reward=0.0 steps=50 error=None
2026-09-06T06:16:39Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=15 seed=14 duration_ms=167161 success=False reward=0.0 steps=50 error=None
2026-09-06T06:16:41Z rollout_done  iteration_id=baseline-0014 attempt=0 candidate_id=baseline rollout=14 seed=14 duration_ms=171883 success=False reward=0.0 steps=50 error=None
2026-09-06T06:16:41Z p1_task_done  task_idx=14 task_id=14 k=16 sr=0.0 n_errors=0 wall_s=519.8
2026-09-06T06:17:42Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=0 seed=15 duration_ms=60908 success=True reward=1.0 steps=18 error=None
2026-09-06T06:17:42Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=2 seed=15 duration_ms=61238 success=True reward=1.0 steps=18 error=None
2026-09-06T06:17:43Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=1 seed=15 duration_ms=61674 success=True reward=1.0 steps=18 error=None
2026-09-06T06:17:43Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=4 seed=15 duration_ms=62120 success=True reward=1.0 steps=18 error=None
2026-09-06T06:17:51Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=5 seed=15 duration_ms=70125 success=True reward=1.0 steps=23 error=None
2026-09-06T06:18:11Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=3 seed=15 duration_ms=89708 success=True reward=1.0 steps=29 error=None
2026-09-06T06:18:39Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=6 seed=15 duration_ms=56771 success=True reward=1.0 steps=18 error=None
2026-09-06T06:18:41Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=9 seed=15 duration_ms=58204 success=True reward=1.0 steps=18 error=None
2026-09-06T06:18:43Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=8 seed=15 duration_ms=60077 success=True reward=1.0 steps=18 error=None
2026-09-06T06:18:52Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=10 seed=15 duration_ms=61184 success=True reward=1.0 steps=18 error=None
2026-09-06T06:18:52Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=7 seed=15 duration_ms=70108 success=True reward=1.0 steps=19 error=None
2026-09-06T06:19:10Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=11 seed=15 duration_ms=59398 success=True reward=1.0 steps=18 error=None
2026-09-06T06:19:36Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=12 seed=15 duration_ms=57714 success=True reward=1.0 steps=18 error=None
2026-09-06T06:19:45Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=14 seed=15 duration_ms=61894 success=True reward=1.0 steps=19 error=None
2026-09-06T06:19:51Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=15 seed=15 duration_ms=58715 success=True reward=1.0 steps=19 error=None
2026-09-06T06:19:57Z rollout_done  iteration_id=baseline-0015 attempt=0 candidate_id=baseline rollout=13 seed=15 duration_ms=75710 success=True reward=1.0 steps=27 error=None
2026-09-06T06:19:57Z p1_task_done  task_idx=15 task_id=15 k=16 sr=1.0 n_errors=0 wall_s=196.1
2026-09-06T06:21:22Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=1 seed=16 duration_ms=85373 success=True reward=1.0 steps=30 error=None
2026-09-06T06:22:01Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=4 seed=16 duration_ms=124064 success=True reward=1.0 steps=39 error=None
2026-09-06T06:22:15Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=2 seed=16 duration_ms=137625 success=True reward=1.0 steps=41 error=None
2026-09-06T06:22:22Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=3 seed=16 duration_ms=144722 success=True reward=1.0 steps=42 error=None
2026-09-06T06:22:30Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=0 seed=16 duration_ms=153204 success=False reward=0.0 steps=50 error=None
2026-09-06T06:22:49Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=6 seed=16 duration_ms=87064 success=True reward=1.0 steps=29 error=None
2026-09-06T06:22:51Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=5 seed=16 duration_ms=173888 success=False reward=0.0 steps=50 error=None
2026-09-06T06:24:09Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=7 seed=16 duration_ms=127658 success=True reward=1.0 steps=40 error=None
2026-09-06T06:24:17Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=11 seed=16 duration_ms=88032 success=True reward=1.0 steps=29 error=None
2026-09-06T06:24:54Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=9 seed=16 duration_ms=152008 success=False reward=0.0 steps=50 error=None
2026-09-06T06:24:54Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=8 seed=16 duration_ms=159521 success=False reward=0.0 steps=50 error=None
2026-09-06T06:25:24Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=10 seed=16 duration_ms=174049 success=False reward=0.0 steps=50 error=None
2026-09-06T06:25:35Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=12 seed=16 duration_ms=163628 success=False reward=0.0 steps=50 error=None
2026-09-06T06:25:56Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=14 seed=16 duration_ms=98252 success=True reward=1.0 steps=33 error=None
2026-09-06T06:27:03Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=13 seed=16 duration_ms=174369 success=False reward=0.0 steps=50 error=None
2026-09-06T06:27:21Z rollout_done  iteration_id=baseline-0016 attempt=0 candidate_id=baseline rollout=15 seed=16 duration_ms=147189 success=False reward=0.0 steps=50 error=None
2026-09-06T06:27:21Z p1_task_done  task_idx=16 task_id=16 k=16 sr=0.5 n_errors=0 wall_s=443.9
2026-09-06T06:29:47Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=1 seed=17 duration_ms=145851 success=False reward=0.0 steps=50 error=None
2026-09-06T06:29:51Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=3 seed=17 duration_ms=150096 success=False reward=0.0 steps=50 error=None
2026-09-06T06:30:00Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=5 seed=17 duration_ms=158836 success=False reward=0.0 steps=50 error=None
2026-09-06T06:30:14Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=4 seed=17 duration_ms=172800 success=False reward=0.0 steps=50 error=None
2026-09-06T06:30:15Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=2 seed=17 duration_ms=173774 success=False reward=0.0 steps=50 error=None
2026-09-06T06:30:20Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=0 seed=17 duration_ms=178648 success=False reward=0.0 steps=50 error=None
2026-09-06T06:32:22Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=7 seed=17 duration_ms=151397 success=False reward=0.0 steps=50 error=None
2026-09-06T06:32:36Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=11 seed=17 duration_ms=136591 success=False reward=0.0 steps=50 error=None
2026-09-06T06:32:42Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=6 seed=17 duration_ms=175493 success=False reward=0.0 steps=50 error=None
2026-09-06T06:32:46Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=9 seed=17 duration_ms=152337 success=False reward=0.0 steps=50 error=None
2026-09-06T06:33:01Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=8 seed=17 duration_ms=180762 success=False reward=0.0 steps=50 error=None
2026-09-06T06:33:14Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=10 seed=17 duration_ms=179205 success=False reward=0.0 steps=50 error=None
2026-09-06T06:35:00Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=15 seed=17 duration_ms=133811 success=False reward=0.0 steps=50 error=None
2026-09-06T06:35:15Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=13 seed=17 duration_ms=158471 success=False reward=0.0 steps=50 error=None
2026-09-06T06:35:34Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=14 seed=17 duration_ms=171740 success=False reward=0.0 steps=50 error=None
2026-09-06T06:35:40Z rollout_done  iteration_id=baseline-0017 attempt=0 candidate_id=baseline rollout=12 seed=17 duration_ms=197812 success=False reward=0.0 steps=50 error=None
2026-09-06T06:35:40Z p1_task_done  task_idx=17 task_id=17 k=16 sr=0.0 n_errors=0 wall_s=499.3
2026-09-06T06:38:50Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=3 seed=18 duration_ms=189605 success=False reward=0.0 steps=50 error=None
2026-09-06T06:38:50Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=0 seed=18 duration_ms=189836 success=False reward=0.0 steps=50 error=None
2026-09-06T06:38:57Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=2 seed=18 duration_ms=196514 success=False reward=0.0 steps=50 error=None
2026-09-06T06:39:11Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=1 seed=18 duration_ms=210725 success=False reward=0.0 steps=50 error=None
2026-09-06T06:39:12Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=5 seed=18 duration_ms=211843 success=False reward=0.0 steps=50 error=None
2026-09-06T06:39:21Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=4 seed=18 duration_ms=220819 success=False reward=0.0 steps=50 error=None
2026-09-06T06:42:18Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=6 seed=18 duration_ms=208266 success=False reward=0.0 steps=50 error=None
2026-09-06T06:42:26Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=8 seed=18 duration_ms=209665 success=False reward=0.0 steps=50 error=None
2026-09-06T06:42:29Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=7 seed=18 duration_ms=218494 success=False reward=0.0 steps=50 error=None
2026-09-06T06:42:30Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=9 seed=18 duration_ms=199438 success=False reward=0.0 steps=50 error=None
2026-09-06T06:42:44Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=10 seed=18 duration_ms=212324 success=True reward=1.0 steps=50 error=None
2026-09-06T06:43:01Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=11 seed=18 duration_ms=220071 success=False reward=0.0 steps=50 error=None
2026-09-06T06:45:02Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=12 seed=18 duration_ms=164193 success=False reward=0.0 steps=50 error=None
2026-09-06T06:45:18Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=15 seed=18 duration_ms=167454 success=False reward=0.0 steps=50 error=None
2026-09-06T06:45:19Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=14 seed=18 duration_ms=170759 success=False reward=0.0 steps=50 error=None
2026-09-06T06:45:49Z rollout_done  iteration_id=baseline-0018 attempt=0 candidate_id=baseline rollout=13 seed=18 duration_ms=202115 success=False reward=0.0 steps=50 error=None
2026-09-06T06:45:49Z p1_task_done  task_idx=18 task_id=18 k=16 sr=0.062 n_errors=0 wall_s=608.4
2026-09-06T06:47:55Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=0 seed=19 duration_ms=126167 success=True reward=1.0 steps=44 error=None
2026-09-06T06:47:57Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=2 seed=19 duration_ms=127851 success=True reward=1.0 steps=44 error=None
